row_id,url_listing,platform,judul_listing,deskripsi,skills_raw
1,https://fastwork.id/user/reynaldokwok/web-development-94807060?badges=specialist%2Cmilestone%2Crehire&page=1&position=1&source=browse&subcategorySlug=web-development,fastwork,"Pembuatan Website & Aplikasi Custom Profesional Modern (React JS, Next JS, AI, Web3)","Pembuatan Website & Aplikasi Custom Profesional Modern (React JS, Next JS, AI, Web3)",React
2,https://fastwork.id/user/maseyo/web-development-81104371?badges=milestone&page=1&position=2&source=browse&subcategorySlug=web-development,fastwork,"Website Company Profile, eCommerce, LMS, Sosmed & Custom Website dengan Professional Web Design","Website Company Profile, eCommerce, LMS, Sosmed & Custom Website dengan Professional Web Design","Website Company Profile, eCommerce, LMS, Sosmed & Custom Website dengan Professional Web Design"
3,https://fastwork.id/user/imamrifai/web-development-84613121?badges=milestone%2Crehire&page=1&position=3&source=browse&subcategorySlug=web-development,fastwork,"Pembuatan Website Custom Professional ( React, Next js, Laravel, Wordpress )","Pembuatan Website Custom Professional ( React, Next js, Laravel, Wordpress )","React, Laravel, WordPress"
4,https://fastwork.id/user/arwebhouse/web-development-28860769?badges=milestone&page=1&position=4&source=browse&subcategorySlug=web-development,fastwork,Jasa Buat Sistem / Aplikasi Berbasis Web Untuk Segala Keperluan,Jasa Buat Sistem / Aplikasi Berbasis Web Untuk Segala Keperluan,Jasa Buat Sistem / Aplikasi Berbasis Web Untuk Segala Keperluan
5,https://fastwork.id/user/adityawiryaa/web-development-62266806?badges=milestone&page=1&position=5&source=browse&subcategorySlug=web-development,fastwork,"Jasa Pembuatan Website Profesional: Company Profile, Bisnis, Personal, atau Toko Online","Jasa Pembuatan Website Profesional: Company Profile, Bisnis, Personal, atau Toko Online","Jasa Pembuatan Website Profesional: Company Profile, Bisnis, Personal, atau Toko Online"
6,https://fastwork.id/user/iwanna/web-development-79553000?badges=milestone%2Crehire&page=1&position=6&source=browse&subcategorySlug=web-development,fastwork,JASA PENGEMBANGAN APLIKASI & WEB,JASA PENGEMBANGAN APLIKASI & WEB,JASA PENGEMBANGAN APLIKASI & WEB
7,https://fastwork.id/user/vinicloudstudio/web-development-63648993?badges=&page=1&position=8&source=browse&subcategorySlug=web-development,fastwork,Profesional Web Development & Website identity (Corporate & Brand),Profesional Web Development & Website identity (Corporate & Brand),Profesional Web Development & Website identity (Corporate & Brand)
8,https://fastwork.id/user/dardadnanp/web-development-70014900?badges=&page=1&position=9&source=browse&subcategorySlug=web-development,fastwork,Membangun Dashboard Dengan Looker Studio (Google Data Studio),Membangun Dashboard Dengan Looker Studio (Google Data Studio),Membangun Dashboard Dengan Looker Studio (Google Data Studio)
9,https://fastwork.id/user/kopsus/web-development-91361043?badges=milestone&page=1&position=10&source=browse&subcategorySlug=web-development,fastwork,"Website Company Profile, Landing page, e-Commerce, Custom Website dengan professional web design","Website Company Profile, Landing page, e-Commerce, Custom Website dengan professional web design","Website Company Profile, Landing page, e-Commerce, Custom Website dengan professional web design"
10,https://fastwork.id/user/praasetyo./web-development-55814762?badges=&page=1&position=11&source=browse&subcategorySlug=web-development,fastwork,Jasa Pembuatan Website Berkualitas 3 Hari Jadi!,Jasa Pembuatan Website Berkualitas 3 Hari Jadi!,Jasa Pembuatan Website Berkualitas 3 Hari Jadi!
